product_id,product_name,category,brand,price,stock_quantity
1,OnePlus 11,Electronics,OnePlus,36620.73,9
2,Atomic Habits,Books,Atomic,38303.36,42
3,Sapiens,Books,Sapiens,41347.99,62
4,OnePlus 11,Electronics,OnePlus,2661.05,70
5,Atomic Habits,Books,Atomic,3154.85,92
6,Sapiens,Books,Sapiens,14773.85,14
7,iPhone 14,Electronics,iPhone,6943.18,7
8,Samsung S23,Electronics,Samsung,47924.42,80
9,Sapiens,Books,Sapiens,34389.81,95
10,Sapiens,Books,Sapiens,30813.59,24
11,OnePlus 11,Electronics,OnePlus,16881.46,57
12,Adidas T-Shirt,Clothing,Adidas,46463.3,6
13,Sapiens,Books,Sapiens,19694.12,86
14,Puma Hoodie,Clothing,Puma,14193.79,100
15,iPhone 14,Electronics,iPhone,44652.95,52
16,Atomic Habits,Books,Atomic,20793.59,22
17,Sapiens,Books,Sapiens,25396.75,85
18,iPhone 14,Electronics,iPhone,44640.23,52
19,Puma Hoodie,Clothing,Puma,43402.54,97
20,OnePlus 11,Electronics,OnePlus,4815.27,82
