product_id,product_name,category,brand,price,stock_quantity
1,iPhone 14,Electronics,Iphone,31866.41,35
2,iPhone 14,Electronics,Iphone,45648.23,65
3,OnePlus 11,Electronics,Oneplus,25254.51,85
4,OnePlus 11,Electronics,Oneplus,1853.71,40
5,Rich Dad Poor Dad,Books,Rich,42870.17,99
6,Sapiens,Books,Sapiens,21534.42,79
7,Sapiens,Books,Sapiens,30561.95,8
8,Samsung S23,Electronics,Samsung,35555.79,74
9,OnePlus 11,Electronics,Oneplus,6601.59,16
10,Sapiens,Books,Sapiens,7858.69,44
11,OnePlus 11,Electronics,Oneplus,13029.4,76
12,Nike Shoes,Clothing,Nike,11824.61,63
13,Atomic Habits,Books,Atomic,8100.2,60
14,iPhone 14,Electronics,Iphone,29797.6,82
15,iPhone 14,Electronics,Iphone,21973.74,91
16,Rich Dad Poor Dad,Books,Rich,3405.15,35
17,Rich Dad Poor Dad,Books,Rich,17044.12,7
18,Nike Shoes,Clothing,Nike,19241.84,8
19,Atomic Habits,Books,Atomic,36032.67,92
20,Nike Shoes,Clothing,Nike,33418.25,35
